date,ind,rain,ind,temp,ind,wetb,dewpt,vappr,rhum,msl
1/1/13 00:00,0,0,0,3.1,0,2.4,1.4,6.8,88,1000.2
1/1/13 01:00,0,0,0,3.3,0,2.5,1.2,6.6,85,1000.8
1/1/13 02:00,0,0,0,2.9,0,2.2,1.2,6.7,88,1001.2
1/1/13 03:00,0,0,0,2.7,0,2.1,1.1,6.6,89,1001.8
1/1/13 04:00,0,0.1,0,2.5,0,1.9,1,6.6,90,1002.5
1/1/13 05:00,0,0,0,2.4,0,1.8,0.8,6.5,89,1003.1
1/1/13 06:00,0,0,0,2,0,1.5,0.6,6.4,89,1004
1/1/13 07:00,0,0,0,1.9,0,1.3,0.4,6.3,90,1004.8
1/1/13 08:00,0,0,0,2,0,1.4,0.5,6.3,89,1005.9
1/1/13 09:00,0,0,0,2,0,1.4,0.4,6.3,89,1007.1
1/1/13 10:00,0,0,0,2.7,0,2,0.7,6.4,86,1008.2
1/1/13 11:00,0,0,0,3.6,0,2.7,1.2,6.7,84,1009
1/1/13 12:00,0,0,0,4.8,0,3.6,1.8,7,80,1009.8
1/1/13 13:00,0,0,0,5.5,0,4.1,2.1,7.1,79,1010
1/1/13 14:00,0,0,0,5.8,0,4.5,2.6,7.4,80,1010.6
1/1/13 15:00,0,0,0,6,0,4.7,2.7,7.4,79,1011.5
1/1/13 16:00,0,0,0,6.1,0,4.7,2.7,7.4,78,1012.9
1/1/13 17:00,0,0,0,5.6,0,4.4,2.6,7.4,80,1013.7
1/1/13 18:00,0,0,0,5.4,0,4.3,2.7,7.4,83,1014.7
1/1/13 19:00,0,0,0,4.3,0,3.5,2.2,7.2,86,1016.2
1/1/13 20:00,0,0,0,4.8,0,3.9,2.6,7.4,85,1017.1
1/1/13 21:00,0,0,0,5.1,0,4.1,2.6,7.4,83,1017.5
1/1/13 22:00,0,0,0,5.5,0,4.3,2.7,7.4,82,1018.3
1/1/13 23:00,0,0,0,5.8,0,4.6,3,7.6,82,1018.7
1/2/13 00:00,0,0,0,5.7,0,4.7,3.3,7.7,84,1019
1/2/13 01:00,0,0,0,6.1,0,5.2,4,8.1,86,1018.7
1/2/13 02:00,0,0,0,6.7,0,5.8,4.6,8.5,86,1018.7
1/2/13 03:00,0,0,0,7.3,0,6.4,5.3,8.9,87,1018.8
1/2/13 04:00,0,0,0,7.9,0,7.2,6.3,9.5,89,1018.4
1/2/13 05:00,0,0,0,8.4,0,7.6,6.8,9.9,89,1018.3
1/2/13 06:00,0,0,0,8.7,0,8,7.2,10.2,90,1018.2
1/2/13 07:00,0,0,0,9.2,0,8.6,7.9,10.6,91,1017.9
1/2/13 08:00,0,0,0,9.8,0,9.1,8.3,11,90,1018.3
1/2/13 09:00,0,0,0,10,0,9.4,8.7,11.2,91,1019.1
